
CONFIGURATION_BEGIN
ProcessingMode,PORTFOLIO_REFRESH
CONFIGURATION_END

TYPE,SWAP
VERSION,5
ACTION,ADD
MODE,TABULAR
FIELDS
PORTFOLIO_NAME,PORTFOLIO_CUSTOM_ID,SWAP TYPE,ONE LEG DEALS PAY RECEIVE,SWAP COUNTERPARTY,PRIVILEGE,DEAL NOTIONAL,DEAL EFFECTIVE DATE,DEAL MATURITY DATE,CURRENCY,DAYS BEFORE ACCRUAL TYPE,DAYS BEFORE ACCRUAL,INDEX NAME,STRIKE,PAY FREQUENCY,DISTRIBUTION TYPE
LoanBoss Cap Volatility Update,LBCP4.548_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2029,06/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.549_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2029,07/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.550_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2029,08/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.551_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2029,09/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.552_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2029,10/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.553_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2029,11/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.554_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2029,12/20/2029,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.555_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2029,01/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.556_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2030,02/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.557_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2030,03/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.558_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2030,04/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.559_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2030,05/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.560_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2030,06/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.563_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2030,09/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.566_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2030,12/20/2030,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.569_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2031,03/20/2031,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.572_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2031,06/20/2031,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.575_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2031,09/20/2031,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.578_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2031,12/20/2031,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.581_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2032,03/20/2032,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.584_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2032,06/20/2032,USD,Lookback,0,TSFR1M,4.5,M,Normal
